education_level,reference_period,youth_employment,adult_employment,senior_employment
"Total, all education levels",2019,58.7,83.2,50.4
"Total, all education levels",2020,49.7,79.2,47.4
"Total, all education levels",2021,55.5,82.4,48.3
"Total, all education levels",2022,58.7,84.8,48.8
"Total, all education levels",2023,58,84.7,48.9
0 to 8  years,2019,29.3,48,15.9
0 to 8  years,2020,22.9,44.8,14.5
0 to 8  years,2021,27.2,46.4,15.3
0 to 8  years,2022,30.4,55.3,16.2
0 to 8  years,2023,28,48.7,16.6
Some high school,2019,38.7,63.3,32.9
Some high school,2020,31.2,61.3,30.5
Some high school,2021,35.5,62.7,30.4
Some high school,2022,39.3,65.2,29.5
Some high school,2023,37.3,65.2,30.7
High school graduate,2019,65,75.9,46.6
High school graduate,2020,55.2,70.7,43.3
High school graduate,2021,62.9,74.2,42.2
High school graduate,2022,64.4,77.5,43.5
High school graduate,2023,63.9,76.6,43.6
Some postsecondary,2019,58.6,75.3,49.5
Some postsecondary,2020,48.9,68.9,45.2
Some postsecondary,2021,54,70.3,48.6
Some postsecondary,2022,60.9,78.1,46.7
Some postsecondary,2023,60.7,77.3,45.8
Postsecondary certificate or diploma,2019,78.6,87.4,56.7
Postsecondary certificate or diploma,2020,68.8,81.7,52.6
Postsecondary certificate or diploma,2021,75.4,84.3,52.9
Postsecondary certificate or diploma,2022,77.7,87.5,53
Postsecondary certificate or diploma,2023,78,87.6,52.7
University degree,2019,77.6,86.9,61.7
University degree,2020,66.1,84.3,58.9
University degree,2021,73.7,87.7,60.9
University degree,2022,75,88.4,60.8
University degree,2023,74.5,88.6,60.5
Bachelor's degree,2019,78.1,87.1,60.9
Bachelor's degree,2020,66.2,84,57.6
Bachelor's degree,2021,73.6,86.9,59.9
Bachelor's degree,2022,75.2,87.9,59.4
Bachelor's degree,2023,74.1,88.3,59.8
Above bachelor's degree,2019,72.9,86.6,63.1
Above bachelor's degree,2020,65.6,85.1,61.3
Above bachelor's degree,2021,74.9,89.3,62.8
Above bachelor's degree,2022,72.9,89.5,63.4
Above bachelor's degree,2023,78,89.1,61.9
